glon,glat,dist_mpc,theta_D
250.15,-37.69,185.4,81.11132675387614
268.26,-33.79,182.8,68.37339848321751
69.03,-53.55,182.5,129.8872281010422
219.08,-19.21,180.3,94.48292864896294
97.53,-80.2,180.0,123.59513943929468
147.41,-30.52,180.3,159.45564003512445
232.19,19.59,179.5,66.79353900187651
295.3,-36.74,178.1,62.41330965360268
31.36,47.26,177.8,69.54703677959758
235.97,19.69,177.8,63.39885901440824
234.83,25.25,177.3,62.719442052167
214.06,-41.12,177.3,106.80592133084448
124.76,-66.39,176.5,138.60972404665645
349.52,-63.56,175.7,95.20298236404479
332.58,49.32,175.4,32.421320054367385
93.31,-61.18,173.5,137.9043474336365
251.94,-33.77,173.0,77.4169063734102
344.06,-64.01,172.9,94.0996899983189
313.56,-32.84,171.9,58.412301028956755
232.28,23.64,171.9,65.4123466899741
170.57,-53.81,171.4,135.7005722586138
333.53,-27.7,170.9,59.432976624551166
295.45,15.5,169.8,13.047795926393576
312.49,48.07,169.6,23.814222776741325
348.63,-31.9,169.6,70.5129553070106
24.83,-32.89,168.3,95.45806250936911
2.48,-29.31,168.0,77.41037182884612
18.34,-35.17,167.5,91.77828923230119
351.77,28.92,164.2,41.60687755272742
14.69,74.99,164.7,60.681052016513696
245.9,21.33,161.7,54.03663156777738
335.78,-28.86,160.4,61.44826289776575
336.84,-46.31,159.5,76.92393657136175
271.58,12.89,158.7,33.72932408382694
40.54,45.08,158.5,76.26267787128955
321.47,25.69,158.5,14.891098095219643
319.95,33.47,156.8,15.52732920590028
356.31,-73.11,157.2,103.87407911133523
195.83,-65.08,156.3,120.57516815414571
27.86,41.59,156.3,68.60572157238788
208.24,-49.57,155.6,113.00938379931908
229.86,-30.37,154.9,90.7524674442591
230.3,-32.54,154.5,91.47346212533817
0.41,9.25,154.2,54.84760176102929
299.56,16.56,154.0,9.850521621319059
233.0,-29.25,154.4,87.83055533648414
203.53,67.73,154.2,71.16797475209658
181.87,-59.43,150.4,128.01008001152294
180.07,-48.08,149.5,131.3879317700841
286.6,-35.7,149.3,63.14364079317769
142.87,-74.83,149.1,129.3173849542807
149.82,-41.95,149.1,153.41846608656965
25.63,-11.98,148.8,86.7542524276573
325.41,16.15,148.8,21.021982207376556
8.83,33.95,147.5,55.417490984147925
260.23,-28.95,146.8,68.99457408520732
331.63,16.26,146.8,26.350937196491753
243.64,-18.23,145.2,73.7167669376611
339.54,-36.55,145.0,69.63160381277149
225.57,-33.29,143.8,95.33601434993152
193.57,-34.59,143.2,120.8318582182899
130.65,-46.72,143.3,157.81734610228193
320.77,-45.63,142.1,72.07255877184903
318.45,-63.34,141.0,88.97921198470789
284.4,-21.17,141.0,50.3212732783745
26.75,-34.4,141.5,97.55400388394214
264.47,-29.21,139.3,66.73315062994122
318.55,-25.68,138.9,52.34421473775865
275.9,-25.01,138.5,57.38579546291455
255.31,35.25,138.3,43.72063959643849
218.19,-29.33,137.2,99.38375903667281
312.64,37.08,137.6,13.72689671969155
265.91,50.56,136.8,39.352813663951586
355.09,-53.25,136.4,89.46802447343256
309.16,20.88,136.1,5.624967326344342
